title,r1,r2,r3,r4,r5
Diyarbakır’da iki grup arasında bıçaklı kavga: 2 yaralı,1,1,3,2,4
THY uçağına bomba ihbarı asılsız çıktı,2,3,2,2,1
Survivor All Star'da yumruk yumruğa kavga! Acun Ilıcalı görüntüleri sansürledi... Yunus Emre ve Ogeday diskalifiye mi olacak?,5,5,4,5,5
Meteoroloji açıkladı: 13 Nisan 2024 hava durumu raporu... Bugün hava nasıl olacak?,5,4,4,4,1
Bakan Yerlikaya duyurdu: 'Çember-17' operasyonunda 2 bin 756 firari yakalandı,1,3,2,1,1
Sakarya’da su kanalında erkek cesedi bulundu,1,2,1,1,3
İtalyan moda tasarımcısı Roberto Cavalli hayatını kaybetti,1,1,1,1,1
Teleferik faciasında AFAD ve Antalya Valiliği son durumu paylaştı: Bakan Yerlikaya'dan yeni açıklama,2,3,4,3,2
Kütahya’da tefecilik yaptığı iddia edilen şahıs tutuklandı,1,3,3,1,2
Şırnak'ta 'taciz' iddiasıyla uzman çavuş darbedildi: Valilikten 'soruşturma' açıklaması,2,5,2,1,2
AKP'li başkanın çalışanı bıçaklandı: CHP'li adayın eşi gözaltında,1,5,5,1,5
Görür: Erken uyarı sistemi işe yaramaz,2,4,5,2,3
"Yer: Denizli... Babasını bıçakla yaraladı, ardından intihar etti",1,4,5,2,3
Kadıköy'de park halindeki 2 otomobil alev alev yandı,1,1,1,2,4
Şişli D-100'de feci kaza: Bariyere çarparak devrilen motosikletin sürücüsü hayatını kaybetti!,1,3,1,1,3
Ege Denizi'nde 4.5 büyüklüğünde deprem!,1,1,4,3,2
Türkiye’de yıllık satış tahmini 40 milyon adet: 20 milyarlık aksesuvar,4,5,3,5,5
Tuzluca’da ‘iradesi gasp edilen’ halk sokağa indi,2,3,2,3,1
Telegram gruplarında ticari amaçla kullanılıyor: Kimlik bilgileri satışta,4,5,5,4,4
"Türkiye’de şüpheli kadın ölümleri hızla artıyor, dosyalar aceleyle kapatılıyor",1,3,1,3,3
Kapısında jandarma ile hastanede tedavi gören emekli Orgeneral Doğan’ın ailesinden kritik açıklama: 'Yaşamı pamuk ipliğine bağlı',4,4,3,3,4
11 yaşındaki Rabia Naz’ın şüpheli ölümünün üzerinden altı yıl geçti: 'Katiller bulunamadı',1,2,1,2,1
CHP’nin Manisa başarısının mimarlarından Balaban ve Durbay: 'İnsan odaklı çalışacağız',1,2,2,2,1
"Erzincan İliç’teki maden faciasının ikinci ayı geride kaldı, yargılama süreci tartışmalı: Sekiz işçi hâlâ kayıp",2,2,1,2,1
AKP’li belediyeden engelli çalışana ‘mobbing',3,5,3,2,2
İYİ Parti’nin olağanüstü kurultayı öncesi adayların ‘teşkilat değişir’ kaygısı,2,4,1,3,1
Fenerbahçe'de yıldızların sahalardan uzak kalışı yeni bir tartışmayı başlattı,4,3,4,4,5
İngilizlerin beş çayı tercihi yine Sultani,4,3,2,3,1
Kaygılı bekleyiş sürüyor... İsrail’e İHA ve füze ile misilleme yapılacak iddiası,2,5,2,2,3
Survivor'a bu sözler ile veda etti: 'Ölüm gibi bir şey oldu ama kimse ölmedi',5,5,5,4,4
İstanbulspor: 'Batan gemiyi terk etmeler başladı',2,4,2,3,4
ABD Başkanı Joe Biden'den İran'a son uyarı: 'İsrail'i savunmaya hazırız',2,3,4,1,4
Antalya'da teleferik kabini düştü: 1 yurttaş hayatını kaybetti,1,1,1,1,3
Son Dakika: THY Varşova-İstanbul seferli uçakta bomba ihbarı: Uçak acil iniş yaptı!,3,5,4,1,3
NASA tanıtmıştı! Ziyaretçi akınına uğradı: İstanbul'a 7 saat uzaklıkta...,5,5,5,5,4
Hizbullah İsrail'e hava saldırısı düzenledi: İsrail'den açıklama geldi!,5,3,4,2,2
"CHP Genel Başkanı Özel, teleferik kazasının araştırılması için Antalya'ya heyet gönderdi",1,2,1,1,2
Antalya'daki teleferik faciasının ardından Muhittin Böcek'ten ilk açıklama!,3,3,3,5,3
Ferdi Tayfur'dan kızı Tuğçe Tayfur'a sert çıkış!,4,4,5,5,4
Bağcılar’da gecekondu alev topuna döndü,2,4,2,1,2
"Fenerbahçe Alagöz Holding, EuroLeague'de finale yükseldi",1,2,1,1,1
"Novak Djokovic, Monte Carlo'da yarı finalde",1,1,2,2,1
Kahramanmaraş’ta Starbucks’a taşlı silahlı saldırı: 1 yaralı,1,4,2,1,2
Meral Akşener’den YSK’ya tepki: ‘Hırsızların masasına haram olarak sundu’,2,4,4,1,2
İsrail ordusu gazetecilere saldırdı! Yaralılar arasında TRT ekibi de var,2,5,3,1,3
Ülkelerden peş peşe 'İsrail-İran' uyarısı!,3,4,3,3,3
Otomobil tarlaya uçtu: 18 yaşındaki genç hayatını kaybetti,1,4,4,1,3
15 milyon ağaçla üretim yapılıyor: AB Komisyonu kayıt altına aldı,3,5,2,4,2
Üsküdar vapurunda yolcular arasında biber gazlı kavga: Ortalık bir anda karıştı,3,2,2,3,4
VakıfBank kazandı sezonu üçüncü tamamladı,1,2,2,2,2
Del Piero'dan Kenan Yıldız'a övgü: 10 numarayı ona verirdim,2,3,4,2,5
Antalya'daki teleferik kazası için soruşturma başlatıldı,1,2,2,1,1
Yunanistan: Türkiye'yle sorunları bir gecede çözeceğimize inanmıyoruz,1,3,3,2,3
"Bugün toplu taşıma ücretsiz mi, bitti mi? 13 Nisan metro, metrobüs, marmaray...",5,5,5,5,1
Tayland'da siyasetçi eşini evlatlık edindiği keşişle bastı,2,3,4,1,4
"NASA, Ay'ın önünden gizemli bir cismin geçtiğini görüntüledi",3,4,3,2,4
"Optik İllüzyon: Kamuflajı aşın, saklı kurbağayı şıp diye bulun",5,5,5,3,4
Anadolu Otoyolu'nda emniyet şeridini kullanan araçlara rekor ceza,4,5,3,5,4
"Yunanistan Başbakanı Miçotakis: Ada sakinleri, Türk turistler geldiği için çok sevinçli",1,4,3,1,3
2024 Skoda Octavia seri üretime girdi: İşte özellikleri,4,3,5,5,2
"İran, İsrail saldırısına karşı 100'den fazla seyir füzesi hazırladı",1,3,4,1,4
BMW'den 5 yıllık plan: 40 yeni model piyasaya sürecek,1,3,4,2,2
Xiaomi SU7 ilk kazasını Mercedes-Benz ile yaptı,1,4,3,1,3
Survivor All Star'da eleme heyecanı: Bir kişi daha gitti...,5,5,5,5,5
"Aston Martin, içten yanmalı motorlu araçlar üretmeye devam edecek",1,1,1,1,2
Türkiye'de satılan her 10 araçtan 9'u otomatik vites,1,1,2,1,2
81 ilde Çember operasyonu! Ali Yerlikaya 2 bin 756 firarinin yakalandığını açıkladı,1,3,2,1,1
Türkiye'nin yaptırım kararı İsrailli iş adamlarında panik yarattı,3,3,5,2,4
Denizli'de babasını bıçaklayan genç ölü olarak bulundu,1,4,4,1,3
THY uçağında bomba ihbarı: Bükreş'e zorunlu iniş yapıldı,2,5,2,1,4
"Antalya'da teleferik kazası: 1 ölü, 10 yaralı",1,1,2,1,3
"Rusya, kıtalararası balistik füzesini test etti",1,3,4,1,4
Avrupa Ligi'nde play-in ve play-off eşleşmeleri belirlendi,3,4,4,3,1
Bülent Uygun: Çok zor maçlarımız var,2,3,4,2,2
Abdullah Avcı: Çok yumuşak bir takımız,2,4,3,2,1
Joe Biden: İran'ın İsrail'e er ya da geç saldırmasını bekliyoruz,2,4,2,1,4
"Vakıfbank, Türk Hava Yolları'nı yenerek sezonu 3. bitirdi",1,1,2,1,1
"Fenerbahçe, ÇBK Mersin'i yenerek finale yükseldi",1,2,1,1,1
Trabzonspor sahasında 3 puanı kaptırdı: Sivasspor'a yenildi,1,2,2,1,1
Diyarbakır’da otomobil ile kamyonet çarpıştı: 3'ü çocuk 13 yaralı,1,3,2,1,3
Yunan adalarına Türk turist akını: 20 bin kişi gitti,3,2,4,1,1
Şırnak'ta 2 gün 2 gecelik aşiret düğününde 2 milyon liralık takı,2,4,5,1,4
YSK duyurdu! 20 ilçe ve 1 beldedeki seçim itirazı reddedildi,1,5,1,2,3
Çankırı'da boşanma aşamasındaki eşini pompalı tüfekle öldürdü,1,3,4,2,2
Tayvan görevi tamam! Türk İHA ekibi Türkiye'ye doğru yola çıktı,1,3,2,5,2
Sakarya'da yazlık sitedeki dairede 2 ceset bulundu,1,4,2,2,4
Üsküdar vapurunda yolcular arasında biber gazlı kavga: Ortalık karıştı,4,4,2,3,2
"Peynir ve yoğurttan önce o vardı! Kalsiyum fışkırıyor, yiyen 100 yaşını garantiliyor...",5,5,5,5,5
Balıkesir'den İzmir'e çalıntı araçla gelen 2 çocuk yakalandı,1,4,3,1,4
"ABD füze gemisi, İsrail açıklarına demirledi",1,3,2,1,2
"Güney Kore ve ABD, yapay zeka için güçlerini birleştirdi",4,4,2,4,3
Sivas'ta yakıt kaçağını çakmakla kontrol etti! Motosiklet kullanılmaz hale geldi,4,4,4,2,2
Avrupa Birliği'nden Mısır'a kredi: 5 milyar euro verecekler,1,4,2,1,1
Kars'ta karın erimesiyle birlikte doğa canlandı,3,2,3,2,1
İzmir ve Muğla sahillerinde bayram yoğunluğu! Akın ettiler,5,4,4,4,1
Manisa'da sezonun ilk kiraz hasadı yapıldı! Kilosu 2 bin liradan satıldı,1,3,4,1,4
"YSK, İyi Parti'nin Ordu itirazını reddetti",1,4,2,1,1
NASA tarihinde bir ilk: Japon astronot Ay'a gidiyor,3,3,2,1,3
"Cumhurbaşkanı Erdoğan, Filistinli mevkidaşı Mahmud Abbas'la görüştü",3,3,4,2,3
MHP'de yeni MYK pazartesi günü toplanacak,1,4,1,1,1
Ben Bu Cihana Sığmazam’da Cezayir'in husumetlisi geliyor! TRT1'de kasırgalar çıkarmıştı,5,5,5,5,5
Moda ikonu Roberto Cavalli hayatını kaybetti,1,2,1,1,1
Teşkilat ve Kurtlar Vadisi'nden Marnalı'ya ses getiren transfer! Ali Reşat rolünü kaptı,4,5,4,5,4
İŞKUR KPSS şartsız büro personeli alacak! En az lise mezunu 18-50 yaş arası kadın-erkek...,4,5,5,2,3
"Kitapyurdu Türkiye Okur Ödülleri, 2023 yılının en iyi kitaplarını belirledi",3,4,2,4,3
İlk kirazın kilosu 2 bin lira,3,4,5,1,3
Antalya'daki teleferik kazasında son durum: Kurtarma çalışmaları devam ediyor!,3,4,2,2,2
Kuruluş Osman’a Kanatsız Kuşlar’ın sevilen siması geliyor! Asıl aksiyon şimdi başlıyor,5,5,5,5,5
THY uçağı bomba ihbarı nedeniyle Bükreş'e zorunlu iniş yaptı,2,3,2,1,2
Denizli'de tır otomobile çarptı: Aynı aileden 6 yaralı,2,3,3,1,2
Bitmemesini istiyorlardı ama olmadı! Yan Oda'nın final yapmasının arkasındaki neden...,5,5,5,5,5
Çorum'da zincirleme trafik kazası: 13 yaralı,1,2,3,1,2
"81 ilde dev operasyon: 4 gündür devam ediyordu, 2 bin 756 firarı yakalandı!",1,5,3,5,3
Meteoroloji raporu yayımlandı: Sıcaklıklar artarken yeni uyarı geldi!,5,4,5,4,4
Antalya'daki teleferik kazasıyla ilgili soruşturma başlatıldı!,1,3,1,1,2
Avustralya'daki Melbourne Üniversitesinde İsrailli akademisyenin konuşması iptal edildi,1,4,2,1,3
Kazada hayatını kaybetmişti! Kahreden detay ortaya çıktı,5,5,5,5,5
"Kristalina Georgieva, IMF başkanlığına yeniden seçildi",1,1,1,1,1
Eminönü-Alibeyköy tramvay hattında teknik arıza,2,3,3,2,1
Antalya'da teleferik düştü! Çok sayıda ekip sevk edildi: Ölü ve yaralılar var!,1,4,2,2,3
10 milyon yen değerinde saf altın çay kasesi çalındı,1,5,3,1,3
İngiltere'den savaş ilanı gibi Rusya kararı! Özel silahı resmen duyurdular,5,5,5,5,5
"AK Partili başkanın çalışanı darp edilip, bıçaklandı! CHP'li adayın eşi gözaltında",3,5,3,2,4
Akdeniz'de aynı gün iki göçmen faciası,2,4,4,3,3
"""Narkoçelik-11"" operasyonlarında yakalanan 13 zanlıdan 10'u tutuklandı",1,4,2,2,2
"Başkan Hilmi Güler: ""Gerçekler bir kez daha kazandı”",1,5,4,2,3
Evinde 70 kilo esrar bulunan belediye başkanı gözaltına alındı,1,4,5,3,2
"Rusya, İngiltere ve 10 ülkeden vatandaşlarına 4 ülke için uyarı! Peş peşe çağrı yaptılar",2,5,5,5,5
"İthal edemeyince kendisi yaptı, şimdi ihraç ediyor",5,5,5,5,5
Anıtkabir'de bayram tatilinde ziyaretçi yoğunluğu,4,3,4,1,2
İsrail'e onlarca füze ateşlendi! Tel Aviv'de sirenler çalıyor! Demir Kubbe devreye girdi,4,5,4,5,5
Norveç Başbakanı Store: Filistin devletini tanımaya hazırız,1,2,1,1,2
"Kur'an-ı Kerim yakma provokatörü Momika, İsveç'e teslim edildi",1,3,4,1,3
Anadolu Efes'in play-in'deki rakibi Bologna oldu,1,2,2,1,2
BM'den TRT ekibine saldırıyla ilgili soruşturma talebi,2,5,2,2,4
ABD Başkanı Joe Biden'dan İran'a çağrı! Son kez uyardı,5,5,5,5,4
"ABD, İran'ın saldıracağı tarihi duyurdu! ABD savaş gemileri İsrail'e konuşlandırıldı",4,4,5,4,4
"ABD, Gazze'nin kuzeyine havadan insani yardım indirdi",1,4,2,1,2
Fenerbahçe Beko'nun rakibi Monaco oldu,1,1,2,1,1
Bülent Uygun: Ligde kalmayı garantiledik,1,4,2,2,2
Zelenskiy'nin Ukrayna davetine Trump'tan ret!,5,4,3,1,3
Sivasspor 6 yıl sonra Trabzon'da kazandı,1,3,4,2,1
Tedavisi devam eden Nuri Alço'dan haber var,5,5,5,5,5
Yiğidolar Trabzon'da tek golle kazandı,2,1,4,2,3
"İsrail, Gazze'de TRT ekibine saldırdı! Başkan Erdoğan'dan sert tepki",4,5,4,4,3
Diyarbakır-Batman karayolunda facia! 3'ü çocuk 13 yaralı,2,2,3,2,3
Manisa FK Eyüpspor karşısında 2-0'dan döndü,1,4,2,2,5
Abdullah Avcı: Daha sert olmalıyız,1,3,4,3,4
İspanya ve İrlanda'dan acil ateşkes ve Filistin devletinin tanınması çağrısı,2,4,2,1,4
Gazze'de hayatını kaybedenler için Fatih'te gıyabi cenaze namazı kılındı,1,3,2,1,1
"Counter-Strike 2, 200 milyondan fazla kütüphanede bulunuyor!",1,5,4,2,5
"Apple, iPhone 17 ile yapay zeka alanında önemli geliştirmelere hazırlanıyor",4,3,4,4,4
Captain America: Brave New World Filminin İlk Sahneleri Gösterildi,5,4,5,5,3
"TCL, yapay zeka destekli ilk filmi olan Gelecek Durak Paris'i yayınlamaya hazırlanıyor",2,4,2,1,2
"Joker 2 ne zaman çıkacak? Joker: Folie à Deux ne zaman yayınlanacak, sinemalara gelecek?",5,5,5,5,5
Aydın'ın Söke ilçesinde trafik kazası: 1 yaralı,1,2,2,1,1
Orta Doğu'da savaş çanları çalıyor! İran seyir füzelerini hareket ettirmeye başladı,4,5,4,3,3
AK Parti Banaz İlçe Başkanlığı Muhtarlarla Buluştu,3,2,2,2,1
Babasını bıçaklayıp intihar etti,4,4,4,4,4
"Bugün kuyumcular açık mı? 13 Nisan Cumartesi kuyumcular çalışıyor mu, açık mı?",5,5,5,5,5
Şırnak'ta kamu görevlisi taciz iddiasıyla darbedildi,1,4,2,2,3
"Antalya'da teleferik kazası! Mahsur kalan 98 kişi kurtarıldı, 9 kabindeki tahliye çalışması sürüyor",4,3,2,2,2
Ceyhan Belediyesi hangi parti? Ceyhan Belediye başkanı hangi partiden seçilmiştir?,5,5,5,5,5
Çember-17 Operasyonlarında 2 Bin 756 Firari Yakalandı,1,4,2,2,1
Antalya'daki teleferik kazasında 96 kişi tahliye edildi,1,2,2,2,1
Antalya'da panik anları! Teleferikte mahsur kalan şahıs o anları paylaştı,5,4,4,5,3
"KURBAN BAYRAMINA KAÇ GÜN KALDI 2024: Kurban bayramı ne zaman, hangi tarihe denk geliyor?",5,5,5,5,5
Antalya'daki teleferik kazasında 98 kişi kurtarıldı,1,3,2,1,1
Tünektepe Teleferik Kazasında 96 Kişi Kurtarıldı,1,2,2,2,1
ANTALYA TELEFERİK KAZASI SON DAKİKA: Antalya'da teleferik kazasında son durum ne? Teleferik kazasında kaç kişi kurtarıldı?,5,5,5,5,5
Antalya'da teleferikte mahsur kalan 98 kişi kurtarıldı,1,3,2,1,1
Bakan Yerlikaya: Asılı kalan 15 kabindeki 98 kişi tahliye edildi,1,2,2,1,1
Bugün hangi sınav var? Bugün ne sınavı var? 13 Nisan Cumartesi hangi sınav yapılacak? İşte ÖSYM Sınav Takvimi,5,5,5,5,5
Antalya'da teleferik kazasında mahsur kalanların kurtarılması devam ediyor,3,4,2,2,2
"Dün gece deprem oldu mu? İzmir'de, İstanbul'da, Ankara'da deprem mi oldu? 13 Nisan dün gece deprem mi oldu?",5,5,5,5,5
"Bugün hangi maçlar var? Bugün maç var mı? 13 Nisan Bu akşam hangi maçlar var, hangi kanalda?",5,5,5,5,5
Ege Denizinde 4.5 Büyüklüğünde Deprem Meydana Geldi,1,4,4,1,1
"Ege Denizi'nde 4,5 büyüklüğünde deprem meydana geldi",1,3,4,1,1
Antalya'daki teleferik kazasında 87 kişi kurtarıldı,1,3,2,1,1
Antalya'da teleferik kazasında mahsur kalanların kurtarma çalışmaları devam ediyor,3,2,2,2,3
Antalya'da Asılı Kalan Teleferik Kabinindeki 87 Kişi Tahliye Edildi,1,4,2,2,1
Şişli'de Devrilen Motosikletin Sürücüsü Hayatını Kaybetti,1,2,2,1,2
Şahan Gökbakar İranlı Recep İvedik'e dava açacak,3,4,3,1,3
Antalya'da teleferik kazasında mahsur kalanların kurtarılma çalışmaları devam ediyor,4,4,2,2,2
Şişli E-5 Karayolu'nda Motosiklet Kazası: Bir Kişi Hayatını Kaybetti,1,3,2,1,1
Şişli'de feci kaza: Bariyerlere çarpan motosiklet sürücüsü hayatını kaybetti,1,3,4,1,1
Antalya'da Teleferik Kazası: Kurtarma Çalışmaları Devam Ediyor,3,3,2,2,2
Denizli'de tırın çarptığı otomobilde 6 kişi yaralandı,1,3,2,1,1
Antalya'daki teleferik kazasında kurtarma çalışmaları sürüyor,4,3,2,2,3
Narkoçelik-11 Operasyonunda 10 Çete Üyesi Tutuklandı,1,4,2,1,1
Antalya'da teleferik kazası: 102 kişi tahliye edilmeye devam ediyor,1,2,2,2,1
Uluslararası Uyuşturucu Operasyonunda 608 Kilogram Kokain Ele Geçirildi,1,5,3,1,3
Emniyet şeridini kullanan araçlara rekor ceza,5,5,4,5,5
Anadolu Otoyolu'nda Yoğunluktan Kaçan 87 Araça 6 Bin 440'ar Lira Cezası,1,2,2,1,1
Fransa'nın Sudan'daki konferans düzenleme duyurusu kınandı,4,3,2,2,3
THY uçağı Bükreş'e acil iniş yaptı,4,4,4,3,5
İstanbul'daki üç Doğal Sit Alanı'nın koruma statüleri revize edildi,1,3,2,3,2
Denizli'de Tartışma Sonucu Babasını Yaralayan Genç Ormanda Ölü Bulundu,1,4,4,2,4
Teleferik kazasında mahsur kalan vatandaşlar kurtarıldı,3,4,2,3,1
THY Uçağı Bomba İhbarı Nedeniyle Bükreş'e Zorunlu İniş Yaptı,2,4,2,1,1
"Dün reytinglerde kim birinci oldu? 12 Nisan Cuma dünün AB ve Total reyting sıralaması! Yalı Çapkını, Survivor, Güldür Güldür, Bumblebee",5,5,5,5,5
"Altın fiyatları son dakika: ALTINDA DÜŞÜŞ! 13 Nisan 2024 altın fiyatları ile çeyrek altın ve gram altın ne kadar, kaç lira?",5,5,5,5,5
"Son dakika deprem mi oldu? 13 Nisan 2024 AFAD ve Kandilli Rasathanesi son depremler listesi ile nerede, kaç büyüklüğünde deprem oldu?",5,5,5,5,5
"Hava durumu İstanbul: Meteoroloji'den uyarı! 5 bölgede sağanak, hava durumu son dakika",5,5,5,5,4
Antalya'da teleferik düştü: Ölü ve yaralılar var,3,4,2,4,1
Şişli'de motosiklet kazası: 1 ölü,1,2,2,2,3
"Ege Denizi'nde 4,5 büyüklüğünde deprem",4,4,4,1,1
Denizli'de babasını bıçaklayan kişi intihar etti,1,3,4,1,2
"Denizli'de karşı şeride geçen TIR, otomobile çarptı: 6 yaralı",1,3,2,1,2
Son dakika haberi THY uçağına bomba ihbarı asılsız çıktı,1,5,2,1,1
Ünlü moda tasarımcısı Roberto Cavalli hayatını kaybetti,1,3,1,1,1
İran İsrail'e misilleme saldırısı düzenleyecek mi? ABD Başkanı Biden'dan İsrail'e destek mesajı,5,4,2,5,4
Kocaeli'de gemide korkutan yangın: 2 yaralı,3,1,3,1,3
Kadıköy'de park halindeki 2 otomobil alev alev yandı.1,1,4,2,1,4
"Şırnak'ta kamu görevlisi, taciz iddiasıyla darbedilmişti; Valilikten açıklama",4,4,4,3,4
Diyarbakır’da iki grup arasında bıçaklı kavga: 2 yaralı.1,1,1,3,1,4
Kocaeli merkezli Narkoçelik-11 operasyonlarında 10 şüpheli tutuklandı,1,4,2,1,2
Kahramanmaraş'ta iki ailenin kavgasında 3 kişi yaralandı,1,2,2,2,3
Almanya ve Avusturya'dan İran'daki vatandaşlarına çağrı,5,4,4,5,5
Rusya kıtalararası balistik füze denemesi yaptı,2,4,3,1,3
"Hizbullah Hareketi, İsrail'in kuzeyindeki askeri üssüne onlarca katyuşa füzesi fırlattı",2,3,2,1,2
"Kristalina Georgieva, IMF başkanlığına yeniden seçildi.1",1,2,1,1,1
"Rönesans Gayrimenkul Yatırım halka arz ne zaman, hisse fiyatı ne kadar? Rönesans GYO kaç lot verir, hangi bankalarda var?",5,5,5,5,5
"Kurban Bayramı tarihleri: 2024 Kurban Bayramı ne zaman idrak edilecek, bayram tatili kaç gün olacak?",5,5,5,5,5
"Sandık görevlisi ücreti ödeme tarihleri 2024: Sandık görevlisi ücreti ne kadar, seçim paraları ne zaman hesaba yatacak?",5,5,5,5,5
"Ara tatil bitti mi, ne zaman bitecek? Okullar ne zaman açılacak, 15 Nisan 2024 Pazartesi okul var mı?",5,5,5,5,5
Sakarya’da su kanalında cansız erkek bedeni bulundu,1,3,2,1,4
ABD'den İran açıklaması: Çok ciddi,5,5,5,5,5
"SÜRPRİZ VEDA! Survivor kim elendi, kim gitti? 12 Nisan 2024 Survivor eleme düellosunu kim kazandı, ödül oyununu hangi takım aldı?",5,5,5,5,5
"Yarın hava nasıl olacak? MGM duyurdu: 13 Nisan Cumartesi İstanbul, Ankara, İzmir'de hava durumu",5,5,5,5,5
"CANLI Altın fiyatları son dakika: Yükseliş devam ediyor! 13 Nisan 2024 Cumartesi güncel altın fiyatları ile çeyrek altın, gram altın kaç lira?",5,5,5,5,5
"Biraz önce deprem mi oldu, kaç büyüklüğünde? 13 Nisan Cumartesi AFAD ve Kandilli rasathanesi verileriyle son depremler listesi",5,5,5,5,5
Hatay'da kaybolan 51 yaşındaki kadın aranıyor,1,2,2,1,3
Sivasspor Teknik Direktörü Bülent Uygun: Ligde kalmayı garantiledik,1,2,2,3,2
Fenerbahçe Beko: 84-81,1,3,2,1,3
Sandık Kokusu'nun yeni bölüm tanıtımı yayınlandı!,5,5,5,5,2
