title,r1,r2,r3,r4,r5
Son dakika: TRT Arapça ekibine Gazze'de saldırı,2,5,3,1,3
"Abdullah Avcı: ""İki kulvarda yolumuza devam ediyoruz""",1,3,3,3,3
Paris Basketbol: 89 - Mincidelice JL Bourg: 81,1,2,4,1,1
Kurşun yağmurunda çay içti!,4,4,4,5,5
MAÇ SONUCU - Futbol Haberleri,5,5,4,5,3
Ölü doğan bebeklerini boş araziye gömdüler,5,4,4,5,4
Kayseri'de aranan firari 2 hükümlü yakalandı,1,3,2,2,2
Sivasspor maçı canlı anlatımı HTSPOR'da! Trendyol Süper Lig Trabzonspor,5,5,5,5,3
İzmir açıklarında 79 düzensiz göçmen yakalandı,1,4,2,1,1
Kahve zincirine silahlı ve taşlı saldırı,3,4,2,2,3
Son dakika haberi Otomobil ile kamyonet çarpıştı: 13 yaralı,1,2,2,1,2
Son dakika haberi Fenerbahçe Alagöz finalde!,1,4,2,2,4
Bayram trafiği son durum: Akın akın dönüyorlar! İşte yoğunluk yaşanan noktalar,5,5,5,5,5
Van'da iki aracın çarpıştığı kazada 13 kişi yaralandı,1,2,2,1,1
81 ilde Çember-17 Operasyonu! Bakan Yerlikaya: 2 bin 756 firari yakalandı,1,3,3,1,2
Son dakika haberleri: İsrail-Hamas savaşında son durum... IDF yüksel alarma geçti! İsrail'in yardımına gelen ABD'ye İran'dan net mesaj: Uzak durmazsanız vururuz,5,4,5,5,5
Antalya'da teleferik kabini düştü! Kurtarma çalışmaları devam ediyor... Adli soruşturma başlatıldı,5,4,2,3,3
"BİR SORUDAN FAZLASI I Eşim beni neden ebeveynleri ile kıyaslıyor? ‘Annem gibi yemek yapamıyorsun, babam gibi ilgili değilsin…’",5,5,5,5,5
ABD de İliç failinin peşinde! Yatırımcılara toplu dava çağrısı,4,4,4,4,3
"Yunanlardan Olympiakos-Fenerbahçe maçı için çarpıcı yorum: 'Bedelini ağır ödedi, cehennemden döndü'",4,5,4,4,4
Taş Kağıt Makas'ın yıldızı Burak Yörük: Sarışın olmanın etkilerini yaşadım,2,4,5,3,3
Süper Lig'de yabancı hakeme ilk adım: 5 ülkeden olumlu dönüş yapıldı ancak bir şartla...,5,5,5,5,4
Ciroları yüzde 30 arttırdı... Alışverişte bayram etkisi,5,4,5,5,3
YSK’dan İYİ Parti’nin Ordu itirazına ret,1,4,1,1,2
"Partiler detay, esas olan milletin iyiliği",3,5,2,5,2
Havada kâbus! 1 ölü 7 yaralı,3,3,2,5,2
Arabuluculukta 3 milyon dosya çözümlendi,1,4,1,2,2
Fenerbahçe'nin Hollandalı futbolcusu Jayden Oosterwolde'nin hayalleri yıkıldı! Sahalarda uzak kalacağı süre...,5,5,5,5,5
‘Fossati Albümü’ sınırlı sayıda basıldı,4,2,3,2,3
Yazlıkta çifte ölüm! 1 ay sonra fark edildiler,5,4,4,4,4
Elektrikli araç satışlarını 3 kat arttırdı,5,2,2,1,2
Fenerbahçe maçı sonrası Olympiakos cephesinde moraller bozuldu! Yunan basını pes etti,3,5,4,5,4
İYİ Parti’de iki cephe! Kongre öncesi yüksek tansiyon,5,4,4,5,4
Polis lojmanında ölü bulunan Yeşim’in annesi: Kızımı da bizi de rahat uyutun,1,3,2,2,3
Şehirde kültür-sanat için son çağrı,5,4,5,5,3
Bitkilerin gücüne güç katan yöntem: Fermantasyon,5,4,4,5,2
Uyuyan güzellerin bakım zamanı geldi,5,5,5,5,3
Festival coşkusu sarsın her yeri,5,1,4,5,2
Darphane’den UTTS ile ilgili bilgilendirme toplantısı... Firmalar usulsüz faturayı bitirecek sisteme kaydoluyor,4,4,3,3,4
Konularına Göre QS sıralamasında ODTÜ Petrol dünyada 11.,3,4,2,2,2
Gelecekte iyilik projelerinin derdi ne olacak,5,5,4,5,1
İftarda tavuk sahurda lahmacun söyledik,4,4,5,4,3
İran ‘bu kez gerçekten’ vurabilir! Saldırı planı Hamaney’in önünde... Amerikalı komutan İsrail’e gitti,5,4,4,5,5
Miçotakis: Türkiye ile bela istemiyoruz,4,3,2,5,3
AK Parti'de gündem yeni anayasa,5,5,2,3,4
Türk firma yapacaktı! Hindistan gemi inşa sözleşmesini iptal etti,4,5,4,5,4
İsrail TRT ekibini hedef aldı,4,5,3,2,2
Putin’den Ukrayna mesajı: İstanbul müzakere masasına geri dönelim,2,3,2,1,3
Türkiye’nin en iyi 10 hamamı: Fiziksel arınma zihinsel rahatlama,5,4,4,5,3
“POS çalışmıyor IBAN’a at” uygulaması Maliye’nin radarında... Maliye ‘IBAN’a ceza yazmaya hazırlanıyor,5,4,2,2,5
Yeni müfredat bu ay açıklanacak,5,5,4,5,2
Finansal teknoloji uzmanları İstanbul’da buluşuyor,2,5,2,3,1
Ege Denizi'nde 4.5 büyüklüğünde deprem,4,3,4,1,1
Son dakika haberi! THY uçağına bomba ihbarı asılsız çıktı,3,5,2,2,1
"AK Parti’li başkanın çalışanı bıçaklandı, CHP’li adayın eşi gözaltında",1,5,3,3,3
"Avrupa'daki Türk derbisi F.Bahçe'nin! Sarı lacivertliler, Euroleague'de finalde",1,2,1,2,1
Fenerbahçe Beko'nun Euroleague Play-Off'undaki rakibi belli oldu,5,5,4,3,4
Anadolu Efes’in Play-In’deki rakibi İtalyan ekibi oldu,1,4,2,2,3
Hezimet sonrası Liverpool'u topa tuttular: Klopp’un partisi bitti,4,4,4,3,3
"Bülent Uygun: Mourinho, Klopp gelse başaramaz dendi",1,3,3,3,3
Çukurova Basketbol'da Başkan Serdar Çevirgen'den Fenerbahçe için anlamlı mesaj,5,5,5,5,4
Son dakika haberi! İsrail: Lübnan'dan saldırı yapıldı,3,4,3,4,3
Abdullah Avcı mağlubiyet sonrası konuştu,5,4,5,5,3
Tatilcilerin dönüş yolculuğu başladı: İşte yollardaki son durum,5,5,5,5,4
SON DAKİKA HABERİ | Galatasaray'da 4 yıldız için kritik haftalar! İlk yolcu belli oldu,5,5,5,5,5
81 ilde Çember-17 operasyonu! 2 bin 756 firari yakalandı,1,3,2,1,1
Arda Turan'dan ilk transfer bombası! Süper Lig'in yıldızına kanca,5,4,4,5,5
Antalya'da teleferik faciası! Ölü ve yaralılar var...,3,4,4,5,3
Fransız hayranı Hande Ataizi'nin bayramını kutladı! 'Çok gurur verici',5,4,4,4,5
İYİ Parti’de adaylar kılıçları çekti,5,5,4,5,5
Teleferik faciasında son durum! Bakan Yerlikaya paylaştı,5,3,5,5,5
Teleferik faciasında son durum! Bakan Yerlikaya paylaştı.1,5,4,5,5,5
Bin 200 yıl boyunca gizli kaldı! Nil'in Venedik'i nasıl sulara gömüldü?,5,5,4,5,3
'Akıllı değil' diye vitaminli tek lokma verilmedi! Acıdan kıvrandıran 'çürük diş' deneyi,5,5,4,5,4
İsrail'e füze yağmuru! Ortadoğu nefesini tuttu,4,4,4,4,5
Zara'dan Serenay Sarıkaya'ya abla tavsiyesi!,5,5,5,5,5
"Pelin Öztekin'den Süper Kupa yorumu: Hiç 50'nci saniyede gol atmadık, belki de onun sevincidir!",1,4,3,3,2
Fenerbahçe'de sakatlıklar başa bela oldu! Son kurban Jayden Oosterwolde,3,4,2,3,3
Sağlık ve performans bir arada!,5,4,5,5,5
UEFA'dan Şampiyonlar Ligi'ne format! Ek kontenjanı kaçırdık,4,5,4,5,4
TFF'den VAR'da yabancı hakem kararı!,5,4,4,5,4
"Hasan Arat: Hırvatlar, Alman desteğiyle başardı!",1,4,2,3,3
İzdihamdan Rapçi Drake sorumlu değil,5,4,4,3,3
Kübalı çocukların gözünden Fidel Castro,4,3,2,5,2
‘İnsandan insana kan temasıyla bulaşabilir’,5,5,5,5,5
Yerel seçim bitti gözler anayasada,5,4,4,3,4
Dijital dünyada çocuklara tam koruma,4,3,4,4,3
"Cumhurbaşkanı Erdoğan, Mahmud Abbas ile görüştü: ‘İsrail bedelini ödeyecek’",5,5,2,4,4
20 bin Türk tatilde Yunan adalarındaydı,2,3,4,2,2
Balda şeker hilesi için AB’den önlem,5,5,4,5,4
47 ilde 826 arsa satışta,5,5,4,3,3
Tıbbi cihazda hedef yüksek teknoloji,3,4,3,3,2
"Plajlar doldu, otellerde yer kalmadı",5,5,4,3,5
‘Yeni İpek Yolu’ için önemli hamle,5,4,5,5,4
Tarihi Gelibolu Yarımadası’na bayram akını,5,3,4,2,2
Yapay zekânın rolü masaya yatırılıyor,5,4,4,5,3
Yatılı öğrenciler daha güzel yemek talep ediyor,4,4,2,3,2
TRT Arabi kameramanı ağır yaralı,3,4,2,3,3
AFAD duyurdu! Ege Denizi'nde 4.5 büyüklüğünde deprem,3,3,4,1,1
AFAD Başkanı Memiş'ten açıklama: Teleferik kazasında kurtarılanların sayısı 74 oldu,1,2,2,1,1
Yolcu uçağında bomba ihbarı asılsız çıktı,3,4,2,1,1
Şırnak’ta taciz iddiasıyla kamu görevlisi darbedildi! Valilik'ten açıklama,5,4,2,4,3
"Konya'da AK Parti'li başkanın çalışanı bıçaklandı, CHP'li adayın eşi gözaltında",1,5,3,2,5
Moda dünyası yasa boğuldu! Modacı Roberto Cavalli hayatını kaybetti,3,4,1,1,1
Bayram dönüşünde Düzce'den geçen araç sayısı açıklandı,5,4,5,5,4
Kadıköy'de 2 araç alev alev yandı,3,3,2,1,4
EuroLeague'de kader maçları! Play-off ve play-in eşleşmeleri belli oldu,5,5,4,5,3
Survivor All Star'da Yunus Emre ile Ogeday diskalifiye mi olacak? Yumruk yumruğa kavga etti,5,5,5,5,5
Survivor Haberleri| Survivor'da sürpriz veda! Elenen yarışmacı belli oldu: Düello öncesi tartışma çıktı,5,5,5,5,5
Van'da feci kaza! 11 kişi yaralandı,3,2,4,3,3
"Real Betis, Celta Vigo engeline takılmadı!",5,3,3,3,3
"Metz, Lens karşısında geri döndü!",4,2,5,3,3
Almanya’dan vatandaşlarına uyarı! 'İran’ı terk edin',3,4,4,2,4
Muş semalarında şaşırtan manzara! Cep telefonu ile kaydedildi,5,5,5,5,4
Kadıköy'de park halindeki 2 otomobil yandı,1,3,2,1,3
MSB askeri uçak görevlendirdi - Son Dakika Türkiye Haberleri,5,2,5,5,5
Kocaeli'de gemide çıkan yangın söndürüldü,1,2,1,2,2
Diyarbakır’da iki grup arasında bıçaklı kavga: 2 yaralı.2,1,1,2,1,3
Sakarya’da su kanalında erkek cesedi bulundu.1,1,2,2,1,2
Diyarbakır’da sokakta yürürken silahlı saldırıda yaralandı,3,2,4,2,4
"Hollanda'dan vatandaşlarına ""İsrail'e acil seyahatleri erteleyin"" tavsiyesi",2,4,4,2,5
"Almanya’dan vatandaşlarına uyarı: ""İran’ı terk edin""",3,4,4,2,5
İngiltere Premier Lig ekiplerinden menajerlere dudak uçuklatan ödeme,5,5,5,5,5
Diyarbakır'da otomobil ile kamyonet çarpıştı: 13 kişi yaralandı,1,2,2,1,1
"Rusya, Fransız Büyükelçiyi bakanlığa çağırdı",3,2,4,2,3
BM: Sudan'da 25 milyon kişi insani yardıma muhtaç,1,3,2,1,1
MHP'de kurultay sonrası ilk MYK tarihi belli oldu - Son Dakika Türkiye Haberleri,5,5,5,5,3
"Fransa vatandaşlarını uyardı: İran, Lübnan, Filistin ve İsrail'e seyahat etmeyin",1,4,3,3,2
"Lufthansa, Tahran uçuşlarını durdurma kararını uzattı",1,3,2,1,4
Yangın söndürme havuzuna düşen çocuk öldü,1,2,2,1,1
Van'daki Yaşar Kemal Şelalesi yeniden akmaya başladı,2,2,2,1,2
CHP Lideri Özgür Özel Fransa yolcusu,3,4,4,4,4
"İsrail, Yardım Sağlama Komitesi başkanına suikast düzenledi",2,4,2,1,3
Fenerbahçe'ye Djiku ve Joshua King'den iyi haber,4,4,5,5,3
"Biden, 7,4 milyar dolarlık öğrenci borcunu sileceğini duyurdu",1,3,2,2,2
"Cumhurbaşkanı Erdoğan, Filistin Devlet Başkanı Abbas ile görüştü",3,2,1,3,2
Tedavisi devam eden Nuri Alço'dan haber var.1,5,5,5,5,5
UEFA'dan Okan Buruk'a men cezası,5,4,3,3,3
Kremlin: İstanbul'daki anlaşma Rusya-Ukrayna ilişkilerinin başlangıcı olabilir,2,3,2,2,2
Zeugma Mozaik Müzesi'nden günlük ziyaretçi rekoru,5,5,4,4,5
Formula 1'de 2025 yılı takvimi belli oldu,5,5,5,5,4
İtalya'da hidroelektrik santralinde patlama: 7 kişi hayatını kaybetti,1,1,2,1,2
Çin'in aktarım uydusunun iletişim testleri tamamlandı,2,2,1,5,3
Çin-Kuzey Kore ilişkileri | Son 5 yılın en üst düzey görüşmesi gerçekleşti,5,4,4,4,4
Beşiktaş Başkanı Hasan Arat'tan yabancı VAR açıklaması,5,4,5,5,3
"Pentagon, İsrail’in İran saldırısına ilişkin bilgi vermemesinden rahatsız oldu",2,2,1,2,3
"İsrail,Lübnan'ın güneyinde gazeteci ve sivillere ait araçlara ateş açtı",1,3,2,2,3
Aston Villa cephesinden Ferdi Kadıoğlu açıklaması,5,4,4,5,3
"ABD, Asya bölgesine ortak tatbikat düzenledi",2,3,2,4,4
Fenerbahçe yarı final için saha avantajına güveniyor,3,2,2,2,2
"İran ve Pakistan ""terörle mücadeleyi"" görüştü",3,4,2,3,3
İsrail saldırıları bayramın son gününde de devam ediyor,3,4,2,3,2
İsrail ordusu Gazze'de bir evi bombaladı: 29 Filistinli öldü - Son Dakika Dünya Haberleri,1,3,3,1,2
"ABD, Gazze'nin kuzeyine havadan insani yardım indirdi.1",1,2,1,1,2
"Beşiktaş - Samsunspor maçı ne zaman, saat kaçta, hangi kanalda?",5,5,5,5,5
"NBA'de Ömer Faruk'un takımı Jazz, sahasında Rockets'ı devirdi",4,2,2,3,2
"Kraliyet ailesinde ""kanser"" sessizliği: Prens William ve oğlu ilk kez görüntülendi - Son Dakika Dünya Haberleri",5,4,5,2,5
"Meksika, Ekvador'u Uluslararası Adalet Divanına şikayet etti",1,3,2,4,3
Loch Ness Canavarı'nı arayışta NASA'dan yardım talebi - Son Dakika Dünya Haberleri,5,4,4,4,2
Tokyo'da 65 bin dolar değerinde saf altın çay kasesi çalındı,1,4,3,1,2
"Suudi Arabistan Süper Kupası, Al Hilal'in: Galibiyet serisi 34 maça yükseldi",1,1,2,1,2
Fenerbahçe yarı final umudunu İstanbul'a taşıdı,3,4,3,4,3
Fenerbahçe'de sakatlık: Oosterwolde sahadan sedyeyle çıktı,4,3,4,3,4
"Fernando Alonso, 2026'ya kadar Aston Martin'de",1,1,2,2,2
Antalya'da teleferik kazası: 98 kişi kurtarıldı,1,2,2,2,2
"Babasını bıçakla yaraladı, ardından intihar etti",1,3,2,2,3
THY uçağına bomba ihbarı: Acil iniş yaptı,3,5,2,1,2
Şişli'de devrilen motosikletin sürücüsü öldü,1,4,2,1,1
Şırnak'ta taciz iddiasıyla kamu görevlisi darp edildi,1,3,2,1,2
Memlekete giden Maliye’ye 2 bin TL ödedi,4,5,5,5,3
AKP’lilerin hedefinde Ali ihsan Yavuz var!,4,3,4,5,3
Güneş Tutulması etkileri devam ediyor.. 2025 Temmuz'a kadar ortalık toz duman!,5,4,5,5,5
"Ege Denizi'nde 4,5 büyüklüğünde deprem.1",4,3,4,1,1
Bütün şehirler yürüyebilir Ardahan'ın koşması lazım,4,2,3,5,3
CHP’deki değişim tüm ülkeyi değiştirdi,5,5,2,5,3
Kurultayı erteleme girişimi iktidarın yazdığı bir tiyatro,5,5,4,5,3
10 yılda belediyede çivi çakılmamış aile şirketi gibi saltanat sürmüşler,5,5,4,5,5
Seçimi masada değil sokakta kazandık,5,3,4,5,4
"Ali Erbaş, sadece AKP’li belediyelerle bayramlaştı",4,4,4,1,1
Ülkelerden peş peşe 'Orta Doğu' uyarısı,4,4,3,5,4
"İran ABD’yi tehdit etti, Biden'dan tek kelimelik yanıt geldi",4,4,5,5,5
Euroleague'de eşleşmeler belli oldu,5,5,5,5,3
"Georgieva, tekrar IMF başkanlığına seçildi",1,2,1,1,1
Su kanalında erkek cesedi bulundu,1,2,1,1,3
Diyarbakır’da sokak ortasında silahlı saldırı,3,2,4,2,3
"Hizbullah, İsrail’e onlarca füze fırlattı",4,4,2,2,4
Fenerbahçe'nin Euroleague play-off'taki rakibi belli oldu,5,4,5,5,5
Bebek cesedi alarmı! Anne-baba gözaltına alındı,5,4,4,4,4
İsrail’den beklenen İran saldırısıyla ilgili açıklama,4,5,4,5,5
"Bülent Uygun: En az bütçeli ikinci takımız, bugün ligde kalmayı garantiledik!",1,3,2,2,3
Trabzonspor'un hocası Abdullah Avcı: Buradan kafamızı kaldırıp...,5,5,5,5,5
Moda tasarımcısı Roberto Cavalli yaşamını yitirdi,1,2,1,1,1
Zonguldak’ta 3 katlı apartmanda yangın,1,2,2,1,1
Anadolu Otoyolu’nda trafik kilit,3,4,4,1,2
"Süper Lig'e çıkan Eyüpspor, Manisa'da kayıp yaşadı",2,2,1,2,3
Rusya kıtalararası balistik füze denemesi yaptı.1,2,4,2,1,2
"CHP, teleferik faciasının yaşandığı bölgeye heyet gönderdi",1,3,1,3,2
"Sivasspor, Trabzonspor'u deplasmanda tek golle yıktı",4,2,2,2,3
Kayseri'de aranan firari 2 hükümlü yakalandı.1,1,3,2,2,2
"Fenerbahçe Alagöz Holding, Euroleague finalinde",1,1,2,2,2
"Sınır dışı edilen Momika, İsveç’e teslim edildi",1,2,1,1,3
"Aynı günde iki facia: Çok sayıda ölü, onlarca kayıp",5,3,5,5,3
"Novak Djokovic, Monte Carlo'da yarı finalde.1",1,2,2,1,3
BM: 25 milyon kişi insani yardıma muhtaç,1,3,2,1,3
ABD medyası saldırı için tarih verdi: İran en geç...,5,5,5,5,5
Parkta iki grup arasında kavga,3,3,4,5,3
Beşiktaş'ta Rebic sezonu kapattı,3,2,4,3,3
"Taş, sopa ve demir çubukla birbirlerine girdiler: 3 yaralı",2,2,2,1,3
"Ağrı'da dere taştı, evleri su bastı",3,4,1,1,2
"Çocukların tehlikeli oyunu, ahşap evi kül etti",4,3,2,5,3
Norveç: Filistin devletini tanımaya hazırız,2,4,2,1,2
Beyaz Saray açıkladı: İran'ın saldırısı yakın,5,4,4,2,3
İsrail: Hamas yetkilisine suikast düzenledik,2,4,2,1,3
'En büyük kalça' araştırmasında şaşırtan sonuçlar,5,5,5,5,5
Naci Görür’den yeni uyarı: Rant kokusunu alınca üşüştüler felaket olur,4,4,5,1,3
Ayılara yiyecek atan adam bir ayının 'Kardeş bu tarafa da gönder' hareketini yakaladı,5,5,4,1,2
500 bin liranın aylık getirisi ok gibi fırladı. Faiz oranları güncellendi,5,5,5,5,3
Yasemin Güveli hayatının imzasını attı,5,5,5,5,5
Dünyaca ünlü forveti Kürt düğününde halay çekerken görenler gözlerine inanamadı,5,5,4,5,4
Türk savunma sanayi küresel sistemini sarstı,5,4,5,5,5
Koray Aydın: Kim seçilirse diğerleri onun yanında olacak,3,3,2,5,3
Yeniçağ Gazetesi'nin 1. sayfası,3,5,3,5,5
Türk gıda devi satıldı. Yeni sahibini duyan şaşırıp kalıyor,5,5,5,5,5
Son düdük çalar çalmaz Fenerbahçe maçında ortalık karıştı,5,4,4,2,4
Beşiktaş Samsunspor ilk 11'ler belli oldu. Fernando Santos'tan sürpriz karar,5,5,5,5,5
Sakarya’da derede erkek cesedi bulundu,1,2,1,1,1
"Taksim metrosunda Suriyeliler'in bayram eğlencesi. Ohh, hayat bunlara güzel",5,5,4,5,1
Almanya’dan vatandaşlarına “İran’ı terk edin” uyarısı,3,4,3,1,3
Hizbullah’tan İsrail'e hava saldırısı: Onlarca katyuşa füzesi atıldı,3,5,2,1,3
"AKP'li başkanın çalışanı bıçaklandı, CHP'li adayın eşi gözaltında",1,5,2,3,5
Trabzon'da İmamoğlu izdihamı. Ula uşağum 17 kişiyle nasıl mücadele ettun...,5,5,5,2,4
Şırnak’ta tanımadığı kadını taciz ettiği iddia edilen kamu görevlisine meydan dayağı,5,5,2,3,1
Acun'un bütün çarşaflarını canlı yayında ortaya döktü. Yanındaki spiker bile susturamadı,5,5,5,5,5
Türkiye enflasyonda Venezuela'yı bile geçti. Sonunda da bu da oldu. Adım adım dünya liderliğine,5,5,4,5,2
Filistinli öğrenci davetli gittiği Yahudi hocanın evinde propaganda yaptı,5,5,3,5,3
"Antalya'da teleferik kabini düştü: 1 kişi öldü, 10 kişi yaralandı, 97 kişi kurtarılmayı bekliyor",1,5,1,2,1
ABD basını istihbarat raporunu sızdırdı: İran’ın İsrail’e saldırısı için tarih verildi,5,5,5,4,5
Tatilcilerin dönüş çilesi başladı: Trafik bazı yerlerde durma noktasına geldi,4,4,4,2,2
Eminönü'nün haline bakın Hindistan gibi,5,5,5,5,2
"Flaş... Flaş... 5 ülkeden vatandaşlarına Orta Doğu uyarısı. Bu 4 ülkeye ""Gitmeyin"" dediler",5,5,5,5,5
Flaş.. Flaş.. Savaş tamtamları çalın İran semalarında garip cisim.,5,5,5,5,5
İran cephaneliğini sergiledi: İsrail'i vurabilecek 9 farklı füze tipi tanıtıldı,4,5,3,1,4
Çocuğa yemeği gösterip iştahlandırdılar. Sonra fotoğraf çektirip uzaklaştılar. O fotoğrafla kim bilir kimlerden para isteyecekler,5,5,5,3,2
"""ABD teyakkuza geçti. Savaş gemileri yükleniyor"" Cumhuriyet Gazetesi'nin haberi koklayan yazarı Mine Kırıkkanat açıkladı",5,5,5,3,4
İsrail’den İran’a hodri meydan: İyi hazırlandık ve nasıl yanıt vereceğimizi biliyoruz,2,5,4,2,4
Bu sıvı basınç uygulandığında katılaşıyor. MEB eğitimini bilim dışı hale getirmeye devam etsin. Bakalım nerede kullanılacak,5,5,5,5,3
Biden İran'a ‘yapmayın’ diyerek seslendi: Biz kendimizi İsrail'in savunmasına adadık,3,5,4,1,2
Doğup büyüdüğü İstanbul'da denizi ilk kez bu kadar yakından gördü: Liseli genç Eminönü'ne ilk kez bu bayramda gidebildi,4,5,3,2,3
Tutulma kehaneti gerçekleşti: Ortadoğu’yu korkutan gizemli cisim ‘Şeytan Kuyruklu Yıldızı’ çıktı,5,4,4,5,1
Gizemli Işık Yüksekova’da da görüldü,5,5,4,5,4
Avusturya'dan İran’daki vatandaşlarına ülkeden ayrılma uyarısı,3,4,3,1,3
Hollanda'dan vatandaşlarına: İsrail'e acil seyahatleri erteleyin,3,4,2,1,4
Karabük'te şarampole yuvarlanan aracın sürücüsü öldü,1,1,2,1,1
Sancaktepe’de boş arazide bebek cesedi bulundu: Anne-baba gözaltında,4,5,2,3,3
Antalya’daki teleferik kazasıyla ilgili soruşturma başlatıldı,3,2,1,2,1
Rusya’nın Orenburg bölgesi sular altında kaldı,3,1,1,1,2
Fenerbahçe yenildi bayram etti. Nedeni sonradan ortaya çıktı,5,5,5,5,5
Hindistan köylerinin ritüeli: Yağmur için gübre savaşları,4,5,4,2,2
THY uçağına bomba ihbarı: Bükreş’e acil iniş yaptı,3,5,4,1,2
Aracından destek alıp ölümden dönen adamın mucize kurtuluşu,5,4,5,5,4
Kahramanmaraş’ta iki grup arasında silahlı bıçaklı kavga,3,2,3,1,3
Arkadaşı namaz kılarken kayda alınca gülme krizine girdi,5,3,5,3,2
Teleferikte mahsur kalan 184 kişiden 40'ı kurtarıldı,1,2,2,1,1
Bülent Uygun: Mourinho gelse başaramazdı!,2,3,3,1,3
